Time,V1,V2,V3,V4,Amount,Class
0,0.1,0.2,0.3,0.4,500.0,0
1,0.5,0.6,0.7,0.8,1200.0,1
2,-0.1,-0.2,-0.3,-0.4,50.0,0
3,-0.5,-0.6,-0.7,-0.8,80.0,0
4,1.1,1.2,-0.1,0.5,1500.0,1
5,0.2,0.1,0.1,0.1,10.0,0
6,0.9,0.8,0.7,0.6,2000.0,1
7,0.3,0.4,0.5,0.6,30.0,0
8,-1.1,-1.2,0.1,-0.5,100.0,0
9,-0.2,-0.1,-0.1,-0.1,15.0,0
10,1.5,1.5,1.5,1.5,3000.0,1
11,0.4,0.3,0.2,0.1,45.0,0
12,-1.5,-1.5,-1.5,-1.5,120.0,0
13,0.6,0.7,0.8,0.9,2500.0,1
14,0.1,0.1,0.1,0.1,5.0,0
15,1.2,1.1,1.0,0.9,1800.0,1
16,0.8,0.9,1.0,1.1,60.0,0
17,-0.8,-0.9,-1.0,-1.1,90.0,0
18,2.0,2.0,2.0,2.0,4000.0,1
19,0.5,0.5,0.5,0.5,75.0,0
20,-0.5,-0.5,-0.5,-0.5,85.0,0
